id,timestamp,tx_type,sub_type,amount,date,description,category,device,location,occasion,effects_balance,linked_tx_id,shared_flag,shared_splits,shared_notes
2ac51ffaf543452ea0ebb5f274fd7fb0,2025-12-08T11:30:46.106892,expense,regular,30000.00,2025-12-06,Deposit,Rent,UPI,,,True,,False,,
bd9311ba19534b15a940adc2bde5f9c8,2025-12-08T11:31:23.624548,income,regular,20000.00,2025-12-05,Home,,OTHER,,,True,,True,"[{""name"": ""daddy"", ""amount"": 20000.0}]",
7b8d7e52a16d4499a24f3d5bc3939c02,2025-12-08T11:32:50.297999,expense,regular,4998.00,2025-12-08,ICICI Credit card,Credit Card Bill,UPI,,,True,,False,,
cd865abca72f4b54bbfba614ab549c2d,2025-12-08T11:33:06.893842,expense,regular,1719.00,2025-12-08,LivPure Water,Utilities,UPI,,,True,,False,,
6d299d22411b4c0ea34797dafc8789f6,2025-12-08T11:33:31.654128,expense,regular,6663.00,2025-12-08,TCS Laptop Breaking charges,Personal,UPI,,,True,,False,,
b8698bf0b04a4662b56572337895dbb4,2025-12-08T11:33:45.771462,expense,regular,1200.00,2025-12-07,Bedding,Utilities,UPI,,,True,,False,,
94a76675c26c4c1a987fda84aacdae6d,2025-12-08T11:43:34.138546,income,regular,665.15,2025-12-08,Misc,,OTHER,,,True,,False,,
002a751e47e54f4d90789042be978795,2025-12-08T11:46:14.069985,expense,credit_card_expense,451.00,2025-12-05,Mutton | Pluxee,Food,CREDIT_CARD,,,False,f3b6a4e09c884e08af5c9edbb94bcef6,True,"[{""name"": ""shashwat"", ""amount"": 225.0}]",
d4230c77e4a946fba92442fb0c91ac14,2025-12-08T11:46:14.070072,income,credit_card_debt,451.00,2025-12-05,Debt for: Mutton | Pluxee,Debt,CREDIT_CARD,,,False,f3b6a4e09c884e08af5c9edbb94bcef6,False,,
e7bd138c55ea4356bc00b1e3a45a3fb3,2025-12-08T11:48:04.768961,expense,regular,222.00,2025-12-08,Sofy,Utilities,DEBT_BORROWED,,,True,,True,"[{""name"": ""shashwat"", ""amount"": 222.0}]",
c6c18f320ddd4a56a0ee24e50c3bcd21,2025-12-08T11:49:04.566246,expense,regular,80.00,2025-12-07,cocunut water,Food,UPI,,,True,,True,"[{""name"": ""shashwat"", ""amount"": 40.0}]",
9121737015714e3b9bfcdf38b65229ba,2025-12-08T11:49:37.131044,expense,regular,297.00,2025-12-08,Blinkit,Utilities,UPI,,,True,,True,"[{""name"": ""shashwat"", ""amount"": 150.0}]",
8de8e42b5d1a45f4b0b3ade1513183b1,2025-12-20T10:42:58.434214,expense,regular,720.00,2025-12-08,Patel agencies,Others,UPI,,,True,,False,,
cbe6f0eca58947fbb96cbe35986d52e5,2025-12-20T10:43:52.990922,expense,regular,94.00,2025-12-08,Uber Auto Dmart Koramangla,Transportation,UPI,,,True,,False,,
5ce621d1139b4812b4c3db54e55f4a23,2025-12-20T10:44:15.009095,expense,regular,100.00,2025-12-08,Uber Auto Dmart Koramangla to home,Transportation,UPI,,,True,,False,,
f59efd4ccc0f4b21a455ea8ee5439acb,2025-12-20T10:44:40.127366,expense,regular,50.00,2025-12-10,Bread,Food,UPI,,,True,,False,,
5853814117bb4f588de30ea8449ee090,2025-12-20T10:44:57.189646,expense,regular,202.00,2025-12-11,Uber to office,Transportation,UPI,,,True,,False,,
01229482a26a43f491c7ab9a88fd0b97,2025-12-20T10:45:09.139394,expense,regular,183.00,2025-12-11,HungerBox,Food,UPI,,,True,,False,,
5ff08fb044bd47a2a563886436e228b8,2025-12-20T10:45:35.391087,expense,regular,136.00,2025-12-11,Uber office to home,Transportation,UPI,,,True,,False,,
cc4bc7e8dd4b4189aad0f4cffa839b4b,2025-12-20T10:46:02.023323,expense,regular,270.00,2025-12-11,Dmart Ready BTM,Utilities,UPI,,,True,,False,,
4db8a0f19b7d4c68824cdd0b43f5eba8,2025-12-20T10:46:18.253949,expense,regular,208.00,2025-12-11,Medicines,Utilities,UPI,,,True,,False,,
593c89cb0b1944a7b3e722449fabd043,2025-12-20T10:46:35.269099,expense,regular,500.00,2025-12-11,Rental Agreement,Rent,UPI,,,True,,False,,
906cf75344b944db97dccd68162a3dcb,2025-12-20T10:48:49.882858,expense,regular,550.00,2025-12-12,Cant remember,Others,UPI,,,True,,False,,
386af9f434384033aac891ff0d7118c9,2025-12-20T10:49:15.072083,expense,regular,3350.00,2025-12-13,Gas cylinder,Food,UPI,,,True,,False,,
84a5000eb94146ac87ebd9b189681dc0,2025-12-20T10:49:36.401475,expense,regular,370.00,2025-12-14,Blinkit,Utilities,UPI,,,True,,False,,
9e32e181af6044f187e664c8161455e5,2025-12-20T16:20:25.999900,expense,regular,235.00,2025-12-15,Uber from home to office,Transportation,UPI,,,True,,0,,
